Unique ID,Date of injury resulting in death (month/day/year),City,State,Zip Code,County,Latitude,Longitude,Agency responsible for death,Cause of death,Intentional Use of Force (Developing),Date (Year)
19353,01/30/2000,Philadelphia,PA,19152.0,PHILADELPHIA,40.0549579,-75.0539796,Philadelphia Police Department,Vehicle,Vehicle/Pursuit,2000.0
19351,01/30/2000,New Castle,PA,16102.0,LAWRENCE,40.943345,-80.400676,Pennsylvania State Police,Gunshot,"Intentional Use of Force, Deadly",2000.0
43,01/30/2000,National City,CA,91950.0,SAN DIEGO,32.680431,-117.090553,San Diego County Sheriff's Office,Vehicle,Vehicle/Pursuit,2000.0
44,01/31/2000,Long Beach,CA,90802.0,LOS ANGELES,33.7691442,-118.1820822,Long Beach Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
45,01/31/2000,Pompano Beach,FL,33062.0,BROWARD,26.225515,-80.095812,Broward County Sheriff's Office,Gunshot,"Intentional Use of Force, Deadly",2000.0
46,02/01/2000,Picayune,MS,39466.0,PEARL RIVER,30.5393138,-89.7195706,Picayune Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
47,02/01/2000,Southgate,MI,48195.0,WAYNE,42.2136461,-83.1940987,"U.S. Federal Bureau of Investigation, Southgate Police Department",Gunshot,"Intentional Use of Force, Deadly",2000.0
48,02/01/2000,Southgate,MI,48195.0,WAYNE,42.2136814,-83.1938669,"U.S. Federal Bureau of Investigation, Southgate Police Department",Gunshot,"Intentional Use of Force, Deadly",2000.0
49,02/01/2000,Boca Raton,FL,33433.0,PALM BEACH,26.3686824,-80.1456363,Boca Raton Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
25777,02/01/2000,Harlem,GA,30814.0,COLUMBIA,33.496258,-82.315332,Columbia County Sheriff's Office,Vehicle,Vehicle/Pursuit,2000.0
50,02/02/2000,Kingston,IL,60145.0,DE KALB,42.097677,-88.752031,DeKalb County Sheriff's Office,Gunshot,"Intentional Use of Force, Deadly",2000.0
51,02/02/2000,Los Angeles,CA,90033.0,LOS ANGELES,34.0514934,-118.2008155,Glendale Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
55,02/03/2000,Franklin,LA,70538.0,ST MARY,29.792769,-91.5073084,St. Mary Parish Sheriff's Office,Gunshot,"Intentional Use of Force, Deadly",2000.0
56,02/03/2000,Laurel,MD,20707.0,PRINCE GEORGES,39.0995847,-76.857108,U.S. Federal Bureau of Investigation,Gunshot,"Intentional Use of Force, Deadly",2000.0
52,02/03/2000,Ewa Beach,HI,96706.0,HONOLULU,21.338593,-158.0217318,Honolulu Police Department,Vehicle,Vehicle/Pursuit,2000.0
53,02/03/2000,Ewa Beach,HI,96706.0,HONOLULU,21.338593,-158.0217318,Honolulu Police Department,Vehicle,Vehicle/Pursuit,2000.0
54,02/03/2000,Pittsburg,KS,66762.0,CRAWFORD,37.4404216,-94.7061994,Pittsburg Police Department,Vehicle,Vehicle/Pursuit,2000.0
57,02/03/2000,San Diego,CA,92104.0,SAN DIEGO,32.747865,-117.1143741,U.S. Customs and Border Protection,Gunshot,"Intentional Use of Force, Deadly",2000.0
58,02/04/2000,Stockton,CA,95215.0,SAN JOAQUIN,37.9118938,-121.2247012,Stockton Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
59,02/05/2000,Queens,NY,11420.0,QUEENS,40.685478,-73.810898,City of New York Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
60,02/05/2000,Las Vegas,NV,89115.0,CLARK,36.175923,-115.2371049,Las Vegas Metropolitan Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
61,02/05/2000,Mather,CA,95655.0,SACRAMENTO,38.572804,-121.2951513,Sacramento County Sheriff's Office,Gunshot,Suicide,2000.0
21445,02/05/2000,Baltimore,MD,21213.0,BALTIMORE CITY,39.3086417,-76.5963908,Baltimore Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
62,02/06/2000,Westminster,CO,80234.0,ADAMS,39.9363052,-105.0113116,Westminster Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
25778,02/06/2000,Westminster,CO,80003.0,JEFFERSON,39.8272871,-105.0248411,Westminster Police Department,Vehicle,Vehicle/Pursuit,2000.0
64,02/07/2000,Hemet,CA,92543.0,RIVERSIDE,33.747926,-116.9599159,Hemet Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
66,02/07/2000,Colorado Springs,CO,80915.0,EL PASO,38.8411212,-104.7387451,El Paso County Sheriff's Office,Gunshot,Suicide,2000.0
63,02/07/2000,Pico Rivera,CA,90660.0,LOS ANGELES,34.0053546,-118.0740818,Los Angeles County Sheriff's Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
65,02/07/2000,Brooklyn Center,MN,55430.0,HENNEPIN,45.0634651,-93.3018704,Brooklyn Center Police Department,Vehicle,Vehicle/Pursuit,2000.0
68,02/08/2000,San Diego,CA,92110.0,SAN DIEGO,32.7539193,-117.2180373,San Diego Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
67,02/08/2000,Montrose,CA,91020.0,LOS ANGELES,34.211594,-118.2316188,Los Angeles County Sheriff's Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
69,02/09/2000,Toledo,OH,43604.0,LUCAS,41.66104,-83.531252,Toledo Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
25779,02/09/2000,Commerce City,CO,80640.0,ADAMS,39.905848,-104.8489863,Commerce City Police Department,Vehicle,Vehicle/Pursuit,2000.0
70,02/10/2000,Miami,OK,74354.0,OTTAWA,36.8713337,-94.8680991,Miami Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
71,02/11/2000,Los Angeles,CA,90007.0,LOS ANGELES,34.018269,-118.2822523,Los Angeles Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
19354,02/11/2000,Philadelphia,PA,19120.0,PHILADELPHIA,40.0221093,-75.1161,Philadelphia Police Department,Vehicle,Vehicle/Pursuit,2000.0
21361,02/11/2000,Irvington,NJ,7111.0,ESSEX,40.7111924,-74.2434547,Union Township Police Department,Vehicle,Vehicle/Pursuit,2000.0
72,02/12/2000,Peoria,IL,61602.0,PEORIA,40.6678538,-89.6239771,Peoria Police Department,Asphyxiated/Restrained,Yes,2000.0
73,02/14/2000,Kansas City,MO,64124.0,JACKSON,39.1023961,-94.5484488,Kansas City Police Department,Vehicle,Vehicle/Pursuit,2000.0
74,02/15/2000,Meridian,MS,,LAUDERDALE,32.3643098,-88.703656,Meridian Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
75,02/15/2000,Houston,TX,77087.0,HARRIS,29.6683153,-95.3122362,Houston Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
20794,02/17/2000,Augusta,MI,49012.0,KALAMAZOO,42.3344928,-85.3530455,Portage Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
76,02/17/2000,Peoria,IL,61603.0,PEORIA,40.7004723,-89.5784693,Peoria Police Department,Gunshot,Suicide,2000.0
79,02/18/2000,Fresno,CA,93711.0,FRESNO,36.8299658,-119.8511558,Fresno Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
77,02/18/2000,Hoyt,KS,66440.0,JACKSON,39.2235536,-95.6544751,Jackson County Sheriff's Office,Gunshot,Suicide,2000.0
78,02/18/2000,Montebello,CA,90640.0,LOS ANGELES,33.9934303,-118.116267,Los Angeles County Sheriff's Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
25780,02/18/2000,Farmersville,CA,93223.0,TULARE,36.3065702,-119.2061427,Farmersville Police Department,Vehicle,Vehicle/Pursuit,2000.0
82,02/19/2000,Lake Forest,CA,92630.0,ORANGE,33.639381,-117.6796065,U.S. Immigration and Naturalization Service,Gunshot,"Intentional Use of Force, Deadly",2000.0
80,02/19/2000,Atlanta,GA,30310.0,FULTON,33.7246463,-84.4038462,Atlanta Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
83,02/20/2000,Layton,UT,84041.0,DAVIS,41.0616031,-111.9453025,Layton Police Department,Vehicle,Vehicle/Pursuit,2000.0
85,02/21/2000,San Diego,CA,92101.0,SAN DIEGO,32.7186511,-117.1578753,San Diego Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
84,02/21/2000,Miami,FL,33161.0,MIAMI DADE,25.8859021,-80.1820571,Miami-Dade Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
86,02/23/2000,St. Louis,MO,63113.0,ST LOUIS CITY,38.6560148,-90.2396068,St. Louis Metropolitan Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
87,02/24/2000,Clearwater,FL,33756.0,PINELLAS,27.9655835,-82.7876565,Pinellas County Sheriff's Office,Gunshot,"Intentional Use of Force, Deadly",2000.0
22609,02/24/2000,Thompson's Station,TN,37179.0,WILLIAMSON,35.8467391,-87.0081412,Williamson County Sheriff's Office,Gunshot,"Intentional Use of Force, Deadly",2000.0
88,02/24/2000,College Park,GA,30337.0,FULTON,33.6424331,-84.4859979,College Park Police Department,Vehicle,Vehicle/Pursuit,2000.0
19342,02/25/2000,Forest Hill,MD,21050.0,HARFORD,39.562075,-76.373452,Harford County Sheriff's Office,Gunshot,"Intentional Use of Force, Deadly",2000.0
20795,02/25/2000,Detroit,MI,48205.0,WAYNE,42.4371963,-82.965544,Detroit Police Department,Vehicle,Vehicle/Pursuit,2000.0
20796,02/25/2000,Detroit,MI,48205.0,WAYNE,42.4371963,-82.965544,Detroit Police Department,Vehicle,Vehicle/Pursuit,2000.0
20797,02/25/2000,Detroit,MI,,WAYNE,42.381666,-83.1710703,Detroit Police Department,Gunshot,"Intenional Use of Force, Deadly",2000.0
25781,02/25/2000,Indianapolis,IN,46224.0,MARION,39.7926014,-86.2730021,Indianapolis Metropolitan Police Department,Vehicle,Vehicle/Pursuit,2000.0
89,02/26/2000,Los Angeles,CA,90021.0,LOS ANGELES,34.0370853,-118.248733,Los Angeles Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
25782,02/26/2000,Wilkinsburg,PA,15221.0,ALLEGHENY,40.4447625,-79.8609078,Wilkinsburg Police Department,Vehicle,Vehicle/Pursuit,2000.0
90,02/27/2000,Pagedale,MO,63133.0,ST LOUIS,38.6731874,-90.3122513,Pagedale Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
91,02/28/2000,Oklahoma City,OK,73129.0,OKLAHOMA,35.4314766,-97.4769314,Oklahoma City Police Department,Gunshot,Suicide,2000.0
92,02/28/2000,Daly City,CA,94015.0,SAN MATEO,37.6706214,-122.485172,Daly City Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
93,02/29/2000,Chicago,IL,60653.0,COOK,41.8126818,-87.622927,Chicago Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
94,02/29/2000,San Diego,CA,92129.0,SAN DIEGO,32.955881,-117.1298553,San Diego County Sheriff's Office,Gunshot,Suicide,2000.0
99,03/01/2000,New York,NY,10031.0,NEW YORK,40.8284707,-73.9476522,City of New York Police Department,Drug overdose,Undetermined,2000.0
96,03/01/2000,La Vista,NE,68128.0,SARPY,41.1762668,-96.0235745,Nebraska State Patrol,Vehicle,Vehicle/Pursuit,2000.0
97,03/01/2000,La Vista,NE,68128.0,SARPY,41.1762668,-96.0235745,Nebraska State Patrol,Vehicle,Vehicle/Pursuit,2000.0
95,03/01/2000,Hiawatha,KS,66434.0,BROWN,39.8525033,-95.5358156,"Brown County Sheriff's Office, Kansas Highway Patrol",Gunshot,"Intentional Use of Force, Deadly",2000.0
98,03/01/2000,Bronx,NY,10472.0,NEW YORK,40.825276,-73.877713,City of New York Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
21855,03/01/2000,Santa Claus,IN,47579.0,SPENCER,38.1127619,-86.9357947,Indiana State Police,Gunshot,"Intentional Use of Force, Deadly",2000.0
100,03/02/2000,Inman,SC,29349.0,SPARTANBURG,35.047741,-82.106044,Spartanburg County Sheriff's Office,Gunshot,"Intentional Use of Force, Deadly",2000.0
22608,03/03/2000,Nashville,TN,37212.0,DAVIDSON,36.1325006,-86.7938567,Metropolitan Nashville Police Department,Vehicle,Vehicle/Pursuit,2000.0
101,03/04/2000,San Jose,CA,95111.0,SANTA CLARA,37.2818031,-121.8279775,San Jose Police Department,Gunshot,Suicide,2000.0
25783,03/05/2000,Salter Path,NC,28512.0,CARTERET,34.6928579,-76.8386685,Indian Beach Police Department,Vehicle,Vehicle/Pursuit,2000.0
102,03/05/2000,Wood River,NE,68883.0,HALL,40.8878066,-98.6078656,Hall County Sheriff's Office,Vehicle,Vehicle/Pursuit,2000.0
103,03/05/2000,Houston,TX,77055.0,HARRIS,29.7992955,-95.5172061,Houston Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
22607,03/05/2000,Oakland,TN,38060.0,FAYETTE,35.2283802,-89.5484146,Oakland Police Department,Vehicle,Vehicle/Pursuit,2000.0
104,03/06/2000,Santa Rosa,CA,95409.0,SONOMA,38.4518593,-122.6191245,California Highway Patrol,Vehicle,Vehicle/Pursuit,2000.0
105,03/07/2000,Chesnee,SC,29323.0,SPARTANBURG,35.156905,-81.853404,"Cherokee County Sheriff's Office, Chesnee Police Department",Gunshot,Suicide,2000.0
25784,03/08/2000,Cleveland,OH,44125.0,CUYAHOGA,41.4388551,-81.6477803,Independence Police Department,Vehicle,Vehicle/Pursuit,2000.0
25785,03/08/2000,Cleveland,OH,44125.0,CUYAHOGA,41.4388551,-81.6477803,Independence Police Department,Vehicle,Vehicle/Pursuit,2000.0
25786,03/08/2000,Houston,TX,77009.0,HARRIS,29.7938765,-95.3771195,Harris County Constable's Office Precinct 1,Vehicle,Vehicle/Pursuit,2000.0
106,03/09/2000,Nicholls,GA,31554.0,COFFEE,31.5174219,-82.6348602,Coffee County Sheriff's Office,Gunshot,"Intentional Use of Force, Deadly",2000.0
107,03/09/2000,Pleasant Grove,AL,35127.0,JEFFERSON,33.50379,-86.973961,Pleasant Grove Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
108,03/09/2000,San Diego,CA,92154.0,SAN DIEGO,32.5517528,-116.9358272,U.S. Customs and Border Protection,Gunshot,"Intentional Use of Force, Deadly",2000.0
19355,03/10/2000,Pleasant Hills,PA,15236.0,ALLEGHENY,40.336173,-79.9708675,Baldwin Borough Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
109,03/10/2000,Spokane,WA,99212.0,SPOKANE,47.6570362,-117.3392951,Spokane County Sheriff's Office,Gunshot,"Intentional Use of Force, Deadly",2000.0
21960,03/11/2000,Indianapolis,IN,46203.0,MARION,39.7312302,-86.134528,Indianapolis Metropolitan Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
20092,03/12/2000,Siren,WI,54872.0,BURNETT,45.7857818,-92.3810284,Burnett County Sheriff's Office,Vehicle,Vehicle/Pursuit,2000.0
110,03/12/2000,Wentzville,MO,63385.0,LINCOLN,38.8144747,-90.8737874,Wentzville Police Department,Gunshot,Suicide,2000.0
111,03/12/2000,St. Charles,MO,63301.0,ST CHARLES,38.7695936,-90.4899216,St. Charles Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
21444,03/13/2000,Brooklyn Park,MD,21225.0,ANNE ARUNDEL,39.224652,-76.613938,Anne Arundel County Police Department,Gunshot,"Intentional Use of Force, Deadly",2000.0
112,03/13/2000,Columbus,OH,43215.0,FRANKLIN,39.9622212,-83.0006428,Powell Police Department,Vehicle,Vehicle/Pursuit,2000.0
113,03/13/2000,Gallup,NM,87301.0,MCKINLEY,35.5293676,-108.7090367,Gallup Police Department,Vehicle,Vehicle/Pursuit,2000.0
114,03/13/2000,Gallup,NM,87301.0,MCKINLEY,35.5293676,-108.7090367,Gallup Police Department,Vehicle,Vehicle/Pursuit,2000.0
115,03/13/2000,Gallup,NM,87301.0,MCKINLEY,35.5293676,-108.7090367,Gallup Police Department,Vehicle,Vehicle/Pursuit,2000.0
